IP,ASN,Longitude,Latitude
81.10.86.21,8452,31.0978,29.0744
80.81.65.193,15412,-3.684,40.4172
213.144.176.230,6762,12.1097,43.1479
197.220.124.117,15399,38.0,1.0
193.251.247.99,5511,2.3387,48.8582
41.188.173.37,37084,39.291,-6.8227
41.59.60.21,33765,39.291,-6.8227
41.170.82.129,36937,30.9638,-25.4628
77.246.56.248,30844,28.1443,-25.757
154.117.133.41,37358,28.1443,-25.757
41.242.82.1,328036,29.1689,-26.5427
105.187.234.166,37457,24.0,-29.0
102.182.72.1,37611,18.4155,-33.9165
102.67.176.72,327693,24.0,-29.0
105.209.233.1,2905,18.4259,-33.9258
196.25.26.65,5713,26.9,-28.1167
105.16.31.2,37100,18.4259,-33.9258
196.250.232.25,37662,29.1689,-26.5427
197.94.40.1,10474,18.4259,-33.9258
154.71.3.171,30999,57.55,-20.2833
184.105.81.142,6939,-97.822,37.751
31.13.156.65,44356,-0.0961,51.5132
105.155.152.1,36903,-7.6184,33.5922
81.192.65.170,6713,-5.5396,33.8916
77.67.83.41,3257,9.491,51.2993
212.12.254.1,15804,31.223,30.0355
149.11.19.217,174,-5.4168,37.329
129.250.7.106,2914,-97.822,37.751
154.126.64.1,37054,47.0,-20.0
196.201.222.146,33771,38.0,1.0
197.248.209.65,37061,36.8155,-1.2841
154.72.42.62,4809,24.0,-29.0
197.254.110.14,15808,38.0,1.0
212.187.166.1,3356,-0.2945,51.3878
41.189.62.54,29571,-5.0,8.0
196.192.171.106,327782,28.0583,-26.2309
172.12.115.9,7018,-82.9459,42.4658
193.95.79.251,37671,9.0,34.0
193.95.96.6,2609,9.0,34.0
41.226.16.232,37705,10.1778,36.8049
196.179.60.0,37693,10.7648,34.741
102.130.68.139,37468,18.5,-12.5
41.74.240.122,11259,12.2027,-5.5472
41.210.241.48,37081,18.5,-12.5
80.84.23.205,6774,8.0,47.0
154.68.160.201,327804,18.4155,-33.9165
41.190.28.17,37076,3.3903,6.4474
41.75.80.57,37282,3.3903,6.4474
41.85.0.57,22355,24.0,-29.0
213.212.238.149,24835,29.9529,31.2162
