"#Data format: Vertex ASN, Connections"
36907,37468
37468,30844
30844,31856,36926,37006,37100
31856,37183
15399,37100,37084
37705,2609,2905
2609,6762,5511,2905
6762,60171,37558,30844,37006
37693,6939,6762
6939,60171
37671,2609
5438,2609
5511,2905,19711,3356
36903,6713
36947,5511,6762,174
36924,2914,5511
2914,6762,3356
8452,3356,1273,15412,3257,6939,5511
3356,2905,174,36994
1273,3356
2905,3356
174,2905,327693,60171,19711
24863,8452
15412,174
36884,174,3257
6713,174
60171,327903
327903,37164
37100,5713,3356
5713,327693,37100
327693,37611,5713
328453,327693
327715,37596
36926,37075
36925,174
36994,37057
37084,30844
37558,21003
24835,8452
37006,327799
37611,5713
37457,37100,5713
10474,37100
37266,37179
37179,37100
37596,328471
328471,30844
